WeekEndDate,Variant,CasesDeath,Number
1/22/2022,All,Cases,4937466
1/22/2022,All,Deaths,15854
1/22/2022,B11529,Cases,1598396
1/22/2022,B11529,Deaths,5132
1/22/2022,B16172,Cases,41460
1/22/2022,B16172,Deaths,133
1/22/2022,BA11,Cases,3278463
1/22/2022,BA11,Deaths,10527
1/22/2022,BA2,Cases,18007
1/22/2022,BA2,Deaths,58
1/22/2022,BA2121,Cases,0
1/22/2022,BA2121,Deaths,0
1/22/2022,BA4,Cases,0
1/22/2022,BA4,Deaths,0
1/22/2022,BA5,Cases,0
1/22/2022,BA5,Deaths,0
1/22/2022,Other,Cases,1141
1/22/2022,Other,Deaths,4
1/29/2022,All,Cases,3703399
1/29/2022,All,Deaths,18450
1/29/2022,B11529,Cases,1046825
1/29/2022,B11529,Deaths,5215
1/29/2022,B16172,Cases,19954
1/29/2022,B16172,Deaths,99
1/29/2022,BA11,Cases,2607011
1/29/2022,BA11,Deaths,12988
1/29/2022,BA2,Cases,28894
1/29/2022,BA2,Deaths,144
1/29/2022,BA2121,Cases,0
1/29/2022,BA2121,Deaths,0
1/29/2022,BA4,Cases,0
1/29/2022,BA4,Deaths,0
1/29/2022,BA5,Cases,0
1/29/2022,BA5,Deaths,0
1/29/2022,Other,Cases,715
1/29/2022,Other,Deaths,4
2/5/2022,All,Cases,2068760
2/5/2022,All,Deaths,18489
2/5/2022,B11529,Cases,516981
2/5/2022,B11529,Deaths,4620
2/5/2022,B16172,Cases,4797
2/5/2022,B16172,Deaths,43
2/5/2022,BA11,Cases,1527012
2/5/2022,BA11,Deaths,13647
2/5/2022,BA2,Cases,19721
2/5/2022,BA2,Deaths,176
2/5/2022,BA2121,Cases,0
2/5/2022,BA2121,Deaths,0
2/5/2022,BA4,Cases,0
2/5/2022,BA4,Deaths,0
2/5/2022,BA5,Cases,0
2/5/2022,BA5,Deaths,0
2/5/2022,Other,Cases,248
2/5/2022,Other,Deaths,2
2/12/2022,All,Cases,1183676
2/12/2022,All,Deaths,17282
2/12/2022,B11529,Cases,256137
2/12/2022,B11529,Deaths,3740
2/12/2022,B16172,Cases,1807
2/12/2022,B16172,Deaths,26
2/12/2022,BA11,Cases,901262
2/12/2022,BA11,Deaths,13159
2/12/2022,BA2,Cases,24406
2/12/2022,BA2,Deaths,356
2/12/2022,BA2121,Cases,0
2/12/2022,BA2121,Deaths,0
2/12/2022,BA4,Cases,0
2/12/2022,BA4,Deaths,0
2/12/2022,BA5,Cases,0
2/12/2022,BA5,Deaths,0
2/12/2022,Other,Cases,64
2/12/2022,Other,Deaths,1
2/19/2022,All,Cases,686408
2/19/2022,All,Deaths,14777
2/19/2022,B11529,Cases,132007
2/19/2022,B11529,Deaths,2842
2/19/2022,B16172,Cases,749
2/19/2022,B16172,Deaths,16
2/19/2022,BA11,Cases,528471
2/19/2022,BA11,Deaths,11377
2/19/2022,BA2,Cases,24891
2/19/2022,BA2,Deaths,536
2/19/2022,BA2121,Cases,51
2/19/2022,BA2121,Deaths,1
2/19/2022,BA4,Cases,0
2/19/2022,BA4,Deaths,0
2/19/2022,BA5,Cases,0
2/19/2022,BA5,Deaths,0
2/19/2022,Other,Cases,239
2/19/2022,Other,Deaths,5
2/26/2022,All,Cases,447237
2/26/2022,All,Deaths,13008
2/26/2022,B11529,Cases,75749
2/26/2022,B11529,Deaths,2203
2/26/2022,B16172,Cases,820
2/26/2022,B16172,Deaths,24
2/26/2022,BA11,Cases,338334
2/26/2022,BA11,Deaths,9841
2/26/2022,BA2,Cases,31455
2/26/2022,BA2,Deaths,915
2/26/2022,BA2121,Cases,364
2/26/2022,BA2121,Deaths,11
2/26/2022,BA4,Cases,47
2/26/2022,BA4,Deaths,1
2/26/2022,BA5,Cases,24
2/26/2022,BA5,Deaths,1
2/26/2022,Other,Cases,444
2/26/2022,Other,Deaths,13
3/5/2022,All,Cases,295609
3/5/2022,All,Deaths,9587
3/5/2022,B11529,Cases,41139
3/5/2022,B11529,Deaths,1334
3/5/2022,B16172,Cases,364
3/5/2022,B16172,Deaths,12
3/5/2022,BA11,Cases,213803
3/5/2022,BA11,Deaths,6934
3/5/2022,BA2,Cases,39716
3/5/2022,BA2,Deaths,1288
3/5/2022,BA2121,Cases,365
